frame,hombro_x,hombro_y,hombro_x_vel,hombro_y_vel,hombro_x_acc,hombro_y_acc,hombro_mag,hombro_ang,hombro_vel_mag,hombro_vel_ang,hombro_acc_mag,hombro_acc_ang,codo_x,codo_y,codo_x_vel,codo_y_vel,codo_x_acc,codo_y_acc,codo_mag,codo_ang,codo_vel_mag,codo_vel_ang,codo_acc_mag,codo_acc_ang,muneca_x,muneca_y,muneca_x_vel,muneca_y_vel,muneca_x_acc,muneca_y_acc,muneca_mag,muneca_ang,muneca_vel_mag,muneca_vel_ang,muneca_acc_mag,muneca_acc_ang,cadera_x,cadera_y,cadera_x_vel,cadera_y_vel,cadera_x_acc,cadera_y_acc,cadera_mag,cadera_ang,cadera_vel_mag,cadera_vel_ang,cadera_acc_mag,cadera_acc_ang
0,0.22795383164577093,0.3166177469557707,-0.0821154477054493,-0.01642308954108936,0.0,0.0,0.39014067597385554,0.9467960430068697,0.08374165404349868,-2.9441970937399184,0.0,0.0,0.2555928916652461,0.47478979340385663,-0.08211544770545014,-0.09853853724653949,0.0,0.0,0.5392152392044193,1.0769580754633734,0.12826842976568384,-2.265534602991603,0.0,0.0,0.3846207807660637,0.47136911765887207,0.008211544770545512,0.008211544770545512,0.0,0.0,0.6083765199936632,0.8863960552234749,0.011612877982539328,0.7853981633974483,0.0,0.0,0.2514880807712647,0.5780942009023904,0.0,0.008211544770545512,0.0,0.0,0.6304277594514597,1.1604612929501743,0.008211544770545512,1.5707963267948966,0.0,0.0
1,0.22685921540737589,0.3164353109160382,-0.09306417406617638,-0.016423089541089914,0.9856161844268368,0.32853872814224555,0.38935383600239504,0.948803828251823,0.09450216063505762,-2.9669204545815537,1.0389306805044505,0.3217505543966117,0.2548631475063161,0.4734215231058628,-0.07116672134472334,-0.1149616267876294,2.2997710969960523,0.98561618442687,0.5376645445784027,1.0769468823131683,0.13520679665096608,-2.1251038229964503,2.502076410020807,0.40489178628507994,0.3846663897759968,0.47168838072840397,0.005474363180363675,0.02189745272145359,-0.32853872814231216,0.6570774562845579,0.6086527416659543,0.886669615199396,0.02257137762563058,1.3258176636680206,0.7346349293674738,2.034443935795743,0.25139686275139844,0.5782310279321897,-0.005474363180363675,0.01094872636072513,-0.32853872814231216,-1.332579693554159e-13,0.6305168548617572,1.1606805231397148,0.012241048204813133,2.034443935795784,0.32853872814231216,-3.1415926535893877
2,0.22512607302991702,0.31607043883657315,-0.10401290042690316,-0.02189745272145359,2.6283098251382975,0.32853872814224555,0.3880493152477085,0.9518858207469433,0.10629290611750704,-2.934096427154588,2.6487639065813005,0.12435499454674584,0.2536773132480548,0.47095863656947395,-0.07116672134472334,-0.14780780586980924,3.2853872814229224,1.97123236885374,0.5349338432144012,1.0767163673419362,0.16404831514832668,-2.01951967080562,3.8313870387827214,0.5404195002705812,0.3847576077958631,0.4721444708277353,0.005474363180363675,0.027371815901817264,-0.32853872814231216,0.0,0.6090638867064747,0.8870268125357637,0.027913884681167147,1.3734007669450081,0.32853872814231216,3.141592653589793,0.25121442671166594,0.5785046819917884,-0.01094872636072735,0.016423089541088804,-0.32853872814231216,0.0,0.6306951365552863,1.161118797648279,0.0197380971473115,2.1587989303425266,0.32853872814231216,3.141592653589793
3,0.22430511085112073,0.31579678477697437,-0.0492692686232703,-0.016423089541089914,3.2853872814228886,0.32853872814231216,0.38735047699648983,0.9532022590280025,0.05193436916673413,-2.8198420991931545,3.301773354551255,0.09966865249116905,0.25340365918845603,0.46895184013241636,-0.016423089541089914,-0.12043598996799308,3.2853872814229224,1.642693640711428,0.5330377499330404,1.0753829900931575,0.12155058843808692,-1.706324040780397,3.6731746468374284,0.46364760900079804,0.3846663897759968,0.4726005609270665,-0.005474363180363675,0.027371815901816154,-0.6570774562846243,-6.662898467770795e-14,0.6093599278028355,0.887615681282226,0.027913884681166058,1.768191886644793,0.6570774562846243,-3.141592653589692,0.25084955463220093,0.5785959000116546,-0.02189745272145359,0.005474363180361455,-0.6570774562845577,-0.6570774562846243,0.6306335818599182,1.1617071140200887,0.02257137762563004,2.8966139904630124,0.9292478502072831,-2.356194490192294
4,0.22412267481138823,0.31534069467764314,-0.010948726360726795,-0.027371815901816157,2.299771096996052,-0.6570774562845579,0.3868730115740691,0.9529040341219538,0.029480347940365116,-1.951302703907272,2.3917980437603443,-0.27829965900509995,0.253038787108991,0.46749235181455623,-0.02189745272145248,-0.08758981088581325,-0.32853872814224544,1.97123236885374,0.5315804048182119,1.074681629358442,0.09028551050252069,-1.815774989921752,1.9984230652957475,1.7359450042095015,0.38457517175613054,0.472782996966799,-0.005474363180363675,0.01094872636072624,0.0,-0.98561618442687,0.6094438653002962,0.8879207314951435,0.012241048204814125,2.034443935795743,0.98561618442687,-1.5707963267948966,0.25039346453286965,0.5785959000116546,-0.02737181590181671,0.0,-0.32853872814227886,-0.32853872814217894,0.6304523000125148,1.1623708520492881,0.02737181590181671,3.141592653589793,0.46462392510354733,-2.356194490192497
5,0.22412267481138823,0.3147933865584456,0.0,-0.03284617908217983,0.657077456284591,-0.3285387281423123,0.38642703009177065,0.9520835280389118,0.03284617908217983,-1.5707963267948966,0.7346349293675034,-0.4636476090008265,0.25258269700965974,0.4664889535960275,-0.027371815901816154,-0.060217994983995986,-0.3285387281423122,1.6426936407114947,0.5304808786900714,1.0745373704565824,0.06614698198448271,-1.99742381992177,1.67522538576854,1.7681918866447852,0.3846663897759968,0.47287421498666526,0.005474363180362565,0.005474363180362565,0.6570774562845577,-0.32853872814231216,0.6095721898369003,0.8878990729689802,0.007741918655024649,0.7853981633974483,0.7346349293674735,-0.46364760900084667,0.2497549383938059,0.578687118031521,-0.038320542262542945,0.005474363180363675,-0.6570774562845578,0.32853872814231216,0.6302827221396136,1.163358082557603,0.038709593275128344,2.9996955989856193,0.7346349293674738,2.6779450445889466
6,0.22412267481138823,0.3141548604193818,0.0,-0.03832054226254351,0.0,-0.3285387281423123,0.38590704799178327,0.9511238747930392,0.03832054226254351,-1.5707963267948966,0.3285387281423123,-1.5707963267948966,0.2521266069103285,0.46603286349669615,-0.027371815901816154,-0.027371815901816154,-3.700743415417188e-17,1.97123236885374,0.5298626763332605,1.0748844596386766,0.038709593275127956,-2.356194490192345,1.97123236885374,1.5707963267948966,0.3851224798753281,0.47269177894693276,0.027371815901816154,-0.01094872636072624,1.314154912569182,-0.9856161844268033,0.6097186583903583,0.8871299708559945,0.029480347940364904,-0.3805063771123579,1.6426936407114276,-0.6435011087932438,0.24929884829447457,0.5789607720911197,-0.02737181590181671,0.016423089541091025,0.6570774562845578,0.6570774562846243,0.630353465431338,1.1641944258889798,0.031920748359611485,2.6011731533191824,0.9292478502072832,0.7853981633974989
7,0.22421389283125448,0.3136075523001843,0.005474363180363675,-0.03284617908217983,0.32853872814231216,0.3285387281423122,0.3855146775393358,0.9501067484210797,0.03329925123075817,-1.4056476493802588,0.4646239251036651,0.7853981633974484,0.25203538889046223,0.46594164547683,-0.005474363180363675,-0.005474363180362565,1.3141549125691154,1.3141549125691823,0.5297390435325892,1.0749539746850003,0.007741918655025434,-2.3561944901924465,1.8584957004145193,0.7853981633974737,0.38548735195479306,0.47232690686746776,0.02189745272145359,-0.02189745272145248,-0.3285387281422456,-0.6570774562845577,0.6096664706772942,0.8862879707473302,0.030967674620102522,-0.785398163397423,0.7346349293674438,-2.0344439357956623,0.24902519423487582,0.5794168621904511,-0.016423089541089914,0.027371815901818374,0.6570774562845911,0.6570774562846244,0.6306642906922397,1.1648789777592534,0.031920748359612346,2.111215827065451,0.9292478502073068,0.7853981633974737
8,0.22430511085112073,0.31315146220085305,0.005474363180363675,-0.027371815901816157,0.0,0.32853872814231216,0.38519686010203386,0.9492254739656338,0.02791388468116606,-1.3734007669450004,0.32853872814231216,1.5707963267948966,0.25203538889046223,0.4658504274569637,0.0,-0.005474363180363675,0.3285387281423122,-6.661338147750939e-14,0.5296588128361525,1.0748720369451144,0.005474363180363675,-1.5707963267948966,0.3285387281423122,-2.0275655735982109e-13,0.38548735195479306,0.47187081676813647,2.3129646346357427e-18,-0.027371815901816154,-1.314154912569182,-0.3285387281423123,0.6093131922374131,0.8858146801223993,0.027371815901816154,-1.5707963267948966,1.3545998782367739,-2.896613990462917,0.24902519423487582,0.5799641703096485,0.0,0.03284617908217983,0.98561618442687,0.32853872814217905,0.6311671618570445,1.165221376808594,0.03284617908217983,1.5707963267948966,1.0389306805044611,0.3217505543965409
9,0.224396328870987,0.31287780814125427,0.005474363180363675,-0.016423089541089914,0.0,0.6570774562845577,0.38502757724356795,0.948618999631134,0.017311456388911316,-1.2490457723982342,0.6570774562845577,1.5707963267948966,0.25203538889046223,0.4657592094370974,0.0,-0.005474363180363675,0.0,1.560320019855857e-17,0.5295785856968128,1.0747900743787855,0.005474363180363675,-1.5707963267948966,1.560320019855857e-17,1.5707963267948966,0.3853049159150606,0.4715059446886714,-0.010948726360726238,-0.02189745272145359,-0.6570774562845577,0.32853872814224555,0.6089152109325799,0.8856676063301593,0.024482096409628746,-2.0344439357956823,0.7346349293674438,2.677945044589028,0.24902519423487582,0.5805114784288461,0.0,0.03284617908217983,0.0,0.0,0.6316701069002413,1.1655632306516266,0.03284617908217983,1.5707963267948966,0.0,0.0
